M1,M2,M3,M4,M5,M6,M7,M8,M9
0.0,-0.008097544,-1.6993371,-0.12941276,-1.7270737,-0.012715945,-1.7257015,0.0,1.6681279
0.0,-1.2526089,0.4924555,-0.90932935,1.2243972,-0.044470236,1.719794,0.0,1.989478
0.0,-1.0769627,0.7024939,1.2676543,-1.1438453,-1.5849323,0.11529554,0.0,-1.8260059
0.0,0.82845217,-1.035778,-0.4136994,1.5188084,1.6845694,0.38761196,0.0,-1.0843732
0.0,-1.2865855,0.6661544,-0.9230042,-1.2731948,1.3478812,-0.834862,0.0,-2.0279388
0.0,0.75329405,0.9523381,1.3204657,1.4526939,-0.9454512,-1.0772239,0.0,2.1685057
0.0,-0.17436661,-0.74479365,-0.9860121,-0.61112,-1.1124749,-1.6483834,0.0,2.0620272
0.0,0.6197832,-1.1948063,-0.8289033,1.431447,-0.91766965,-1.2622848,0.0,-1.790311
0.0,0.7472871,0.8984264,1.4864305,1.4797187,-1.5526,-0.887374,0.0,2.0024464
0.0,-1.0612338,-0.8943197,-0.795139,-1.0611416,-1.6281244,0.16028264,0.0,-1.5643952
0.0,1.1389686,0.9740174,0.8247027,-0.096813455,1.4618315,-0.34197462,0.0,1.5973774
0.0,1.266581,0.8913479,0.8398315,1.1160223,1.293795,0.13951428,0.0,1.744754
0.0,-1.4914628,0.43365777,-0.9605209,1.2067597,-1.6866074,-0.29415476,0.0,-1.9171693
0.0,1.8447957,-1.2530887,-0.768799,-1.1861173,-1.317904,-0.884119,0.0,-1.3028663
0.0,0.8905974,-1.2977735,0.28290632,0.34535706,1.6174791,1.9286802,0.0,1.2139518
0.0,1.434734,0.84658,0.008172537,1.0234507,0.6689055,1.6440293,0.0,1.4176425
0.0,-1.2604617,0.5808991,0.8274746,1.2784033,0.77560806,1.5619384,0.0,1.0627382
0.0,0.2683336,1.1026125,1.0884557,-0.56361127,0.7689122,-0.08975196,0.0,2.324089
0.0,-1.0702746,-0.84454304,-0.90595883,0.08454506,0.65031767,-1.8022746,0.0,-0.33743018
0.0,-1.0731103,-1.0023831,-0.74146694,-1.325581,0.5403731,-0.76687294,0.0,-1.9035814
0.0,-1.1578946,0.554464,0.046809837,0.71059537,1.4711455,1.6119468,0.0,2.1176372
0.0,-1.0921727,0.674919,0.115181014,-0.50496954,1.661177,1.7484552,0.0,2.0041764
0.0,-0.8579028,-0.8444192,-0.5552751,-0.69483316,-1.2931648,-1.2404723,0.0,-1.533517
0.0,0.9118248,-1.1251131,-0.088463984,0.77528685,1.008033,2.1314685,0.0,0.8561438
0.0,-0.42303088,0.84494793,0.97363603,1.0891626,1.7048334,0.9131268,0.0,-2.0503345
0.0,1.3403963,-0.8865088,-0.8200927,0.9903509,1.6278039,0.009121897,0.0,1.4592509
0.0,1.4015949,0.76806724,-0.8754872,1.2161366,1.4961134,0.021016413,0.0,1.8115553
0.0,-0.57089823,-1.3386111,-0.40921098,-0.7833804,-1.6236672,-0.36040154,0.0,-1.5163406
0.0,-1.1348293,-1.0166061,-0.9291209,-0.619671,1.682854,1.4177101,0.0,-1.9181335
0.0,0.101217344,0.7945255,-0.925355,1.268582,-1.3206544,1.3342546,0.0,2.12047
0.0,0.9658137,0.9837774,-0.15167528,0.2564466,1.4518572,-0.85012555,0.0,2.269706
0.0,0.79989594,-0.96954584,-0.8970218,-1.0744771,1.0253288,-1.6468416,0.0,-1.3209537
0.0,-1.3354343,0.279053,-0.79871,-1.6136992,0.122939,-1.662188,0.0,-0.55372125
0.0,1.6380658,0.47236028,-0.68393266,0.2866192,0.7315247,1.0683212,0.0,1.563654
0.0,-1.294794,0.6725091,0.988462,1.3715096,1.5062612,0.3978791,0.0,0.7999576
0.0,1.5009121,-0.94975024,-0.17618945,1.5445043,0.572708,0.4548496,0.0,1.2908376
0.0,1.3161377,0.3907214,-0.69616824,1.0237406,1.4581454,1.5353737,0.0,1.4436121
0.0,-0.11432549,0.35785255,-0.76151717,0.611741,1.6334256,1.6750209,0.0,1.8679562
0.0,-0.78781503,0.710528,-0.34999737,-0.9578269,1.6232127,1.8586566,0.0,1.9353371
0.0,1.0049949,1.042856,1.2330017,-1.5035343,-1.1487477,0.88706625,0.0,1.7931277
0.0,1.0643697,1.0808308,1.0430679,0.16622148,0.25357875,-1.5852524,0.0,1.8912545
0.0,-0.1952839,-1.2077054,-0.244599,-1.718888,0.4652098,-1.7901087,0.0,-0.7998256
0.0,-1.2690367,0.64536786,1.1070898,-1.241261,1.3901212,-1.4011825,0.0,-1.7408801
0.0,1.4710639,0.7659143,-0.79181266,-0.28402075,1.4517167,1.8812027,0.0,1.0585355
0.0,0.8786938,-1.4846544,1.0977321,0.5505219,-1.1332678,-1.2598073,0.0,-1.8872827
0.0,1.9522661,-1.5603349,-0.43366444,-0.60949004,-1.5397713,-0.443464,0.0,-1.5832618
0.0,1.9094529,-1.41572,-0.45865506,-1.4116089,-1.6031084,-0.49998915,0.0,-0.83591986
0.0,-0.08911434,-1.4691352,0.7198376,-0.20106938,-0.50603473,-1.4993238,0.0,-1.8584907
0.0,-1.127414,-0.69174933,-1.0155026,0.90020555,1.4692279,-0.7321277,0.0,-2.264919
